hostname;ip
pd77-sds-051;10.77.43.3
pd77-sds-050;10.77.43.2
pd77-sds-049;10.77.43.1
pd77-sds-064;10.77.43.16
pd77-sds-063;10.77.43.15
pd77-sds-062;10.77.43.14
pd77-sds-061;10.77.43.13
pd77-sds-086;10.77.43.38
pd77-sds-085;10.77.43.37
pd77-sds-028;10.77.42.234
pd77-sds-040;10.77.42.232
pd77-sds-037;10.77.42.229
pd77-dsrv-001;10.77.41.65
pd77-dsrv-002;10.77.41.66
pd77-msrv-001;10.77.41.70
pd77-msrv-004;10.77.41.73
pd77-msrv-010;10.77.41.79
pd77-msrv-012;10.77.41.81
pd77-msrv-014;10.77.41.83
pd77-msrv-015;10.77.41.84
pd77-msrv-019;10.77.41.88
pd77-msrv-020;10.77.41.89
pd77-msrv-034;10.77.41.103
pd77-dsrv-004;10.77.41.68
pd77-dsrv-005;10.77.41.69
pd77-msrv-003;10.77.41.72
pd77-msrv-006;10.77.41.75
pd77-msrv-021;10.77.41.90
pd77-srv-085;10.77.40.101